question_text,answer_text,answer_type,answer_media
"What is your greeting message?","Hello, hopefully i can answer to all of your questions!",text,
"I would like to learn web programming","Cool! I'm so glad to hear that, you're at the right place!",text,
"How much time is needed for a beginner to learn a new programming language","Most people say that learning a relatively easy programming language takes about 4 to 6 months.",text,
"Which are the best websites to learn Php from","Codeigniter,Lynda,Udemy, W3 Schools, StackOverflow, Code Academy.",text,
"What is an average salary of a PHP developer","An early career PHP Software Developer / Programmer with 1-4 years of experience earns an average total compensation of $62,011 based on 52 salaries.",text,
"Which programming languages are most begginer friendly","Python and JavaScript are easy-to-learn and therefore considered the best programming languages to learn for beginners. Moreover, both of them also provide a huge market opportunity.",text,
"Where can i seek help if i get stuck","You can contact us on markopantovic@gmail.com",text,
"Where can i directly contact the website admin","Feel free to contact him on his email adress: markopantovic@gmail.com",text,
"Where are you located at","We are currently located in Novi Sad, Serbia.",text,
"Do you have any social media where i can follow you and stay tuned","Yes, we have our official facebook page: www.facebook.com and our Instagram profile : www.instagram.com",text,
"Do i have to be good at math to be a great programmer","Yes, being good at math is a huge plus. But if you don’t plan to write your algorithms, games, etc., it is enough to know the logic, analyze the problems by dividing them into small pieces, show interest, be patient, and know which libraries to use and wh",text,
"Is it true that the fastest programmer is the best programmer","The most important thing is not to be a 10x programmer, but instead to solve the problem at hand and work effectively.",text,
"Is it necessary to memorize all the syntax to become a good programmer","Today, it seems that there is no more need to memorize anything thanks to the advanced tools, libraries, and the internet. If there is no bet on the table, I think no one writes code from scratch by opening a blank page. Nevertheless, it doesn’t hurt if y",text,
"Which are the best websites to learn coding in general","Codeigniter, Lynda, Udemy, W3 Schools, StackOverflow, Code Academy.",text,
